day,date,well_id,css_cycle_no,css_stage,days_since_steam_injection,steam_volume_tonnes,injection_pressure_psi,steam_quality,soak_time_days,reservoir_temperature_c,reservoir_pressure_psi,viscosity_cp,oil_bpd,water_bpd,gas_mscfd,sor,energy_kwh,spm,vfd_frequency_hz,motor_current_a,estimated_fillage_pct,rod_load_kn,rod_floating_risk_score,rod_floating_risk_label
42,2025-02-12,BGW-01,1,production,42,0.0,,,,45.56,1813.7,7778.8,5.4,4.8,0.8,0.099,84.6,8.66,42.01,43.57,37.4,78.95,60.8,Medium
43,2025-02-13,BGW-01,1,production,43,0.0,,,,45.86,1803.0,7665.6,6.4,2.9,0.0,0.098,86.3,8.74,43.0,44.33,33.1,76.74,62.4,Medium
44,2025-02-14,BGW-01,1,production,44,0.0,,,,45.59,1767.8,7768.0,9.3,0.0,2.4,0.098,77.5,8.55,44.05,43.18,33.0,74.62,61.8,Medium
45,2025-02-15,BGW-01,1,production,45,0.0,,,,45.21,1806.1,7917.1,13.7,8.7,3.3,0.098,84.2,8.53,41.55,44.7,29.7,80.77,64.0,Medium
46,2025-02-16,BGW-01,1,production,46,0.0,,,,45.59,1783.1,7768.6,5.0,5.4,8.5,0.098,88.5,8.73,44.0,46.48,28.6,78.29,65.1,High
47,2025-02-17,BGW-01,1,production,47,0.0,,,,45.61,1783.4,7759.8,5.9,7.9,0.9,0.098,89.0,8.87,42.68,46.38,23.8,79.81,67.1,High
48,2025-02-18,BGW-01,1,production,48,0.0,,,,44.12,1807.2,8358.4,5.0,0.0,0.0,0.097,88.8,8.95,41.62,45.81,25.8,78.75,67.3,High
49,2025-02-19,BGW-01,1,production,49,0.0,,,,44.6,1832.1,8160.7,5.0,4.4,3.2,0.097,85.7,8.97,41.54,44.66,23.9,78.98,67.7,High
50,2025-02-20,BGW-01,1,production,50,0.0,,,,44.6,1815.1,8162.5,5.0,2.8,0.0,0.097,87.1,9.22,41.76,46.76,22.7,82.27,69.6,High
51,2025-02-21,BGW-01,1,production,51,0.0,,,,44.59,1779.8,8163.4,5.0,0.0,2.8,0.097,89.3,9.4,43.87,46.52,22.8,77.02,70.0,High
52,2025-02-22,BGW-01,1,production,52,0.0,,,,44.46,1784.5,8219.4,5.0,4.8,10.0,0.097,88.8,8.75,42.35,42.99,32.3,78.95,63.4,Medium
53,2025-02-23,BGW-01,1,production,53,0.0,,,,43.52,1818.1,8400.0,5.0,1.4,0.0,0.097,87.1,9.07,39.34,44.66,27.1,82.87,66.9,High
54,2025-02-24,BGW-01,1,production,54,0.0,,,,43.28,1781.6,8400.0,5.0,5.0,3.8,0.097,87.4,9.16,40.45,43.88,25.7,81.7,67.3,High
55,2025-02-25,BGW-01,2,injection,0,194.3,1419.3,0.719,,61.99,1732.5,3437.6,0.0,4.4,0.0,0.15,89.2,9.08,41.07,31.55,74.4,52.55,21.5,Low
56,2025-02-26,BGW-01,2,injection,1,131.7,1528.9,0.877,,80.95,1651.5,1339.6,0.0,0.0,0.0,0.187,81.8,8.91,41.72,30.21,84.3,49.08,10.0,Low
57,2025-02-27,BGW-01,2,injection,2,221.1,1413.8,0.733,,101.65,1547.4,478.8,0.0,0.0,2.5,0.248,83.5,9.05,41.41,28.21,98.0,49.17,2.0,Low
58,2025-02-28,BGW-01,2,soak,3,0.0,,,6.0,102.42,1588.5,460.8,212.9,112.0,85.9,0.234,84.1,8.9,39.46,27.31,93.8,45.11,3.4,Low
59,2025-03-01,BGW-01,2,soak,4,0.0,,,6.0,101.36,1536.1,485.8,202.5,110.5,78.9,0.222,87.8,9.24,42.41,26.85,91.5,47.53,4.3,Low
60,2025-03-02,BGW-01,2,soak,5,0.0,,,6.0,103.56,1578.0,435.4,214.1,116.4,85.0,0.211,88.4,9.19,43.88,27.84,92.4,44.77,3.7,Low
61,2025-03-03,BGW-01,2,soak,6,0.0,,,6.0,105.06,1556.1,404.1,210.6,112.1,85.5,0.201,85.8,9.29,38.62,27.38,91.7,41.01,3.9,Low
62,2025-03-04,BGW-01,2,production,7,0.0,,,,98.8,1569.3,551.8,207.7,115.2,82.1,0.192,84.5,8.98,43.57,27.42,90.3,47.14,4.9,Low
63,2025-03-05,BGW-01,2,production,8,0.0,,,,94.07,1603.6,698.0,202.9,111.4,77.0,0.184,82.8,8.94,40.18,29.52,87.5,45.69,6.5,Low
64,2025-03-06,BGW-01,2,production,9,0.0,,,,89.34,1608.8,882.9,201.8,101.8,74.7,0.177,90.0,9.44,42.42,27.57,93.2,44.63,5.2,Low
65,2025-03-07,BGW-01,2,production,10,0.0,,,,85.15,1641.8,1087.1,191.7,102.7,77.8,0.17,89.4,9.23,43.21,26.5,84.6,49.39,9.0,Low
66,2025-03-08,BGW-01,2,production,11,0.0,,,,80.72,1684.1,1355.1,170.8,92.3,72.1,0.165,84.8,9.15,41.44,29.55,84.9,47.47,9.9,Low
67,2025-03-09,BGW-01,2,production,12,0.0,,,,78.55,1678.6,1509.4,183.4,102.2,69.7,0.16,88.6,9.19,42.66,30.49,90.2,49.94,8.6,Low
68,2025-03-10,BGW-01,2,production,13,0.0,,,,75.56,1658.6,1751.1,157.6,85.1,60.8,0.155,90.1,9.5,44.59,30.35,88.9,51.78,10.0,Low
69,2025-03-11,BGW-01,2,production,14,0.0,,,,72.78,1669.4,2011.3,152.8,83.4,61.3,0.151,86.1,8.98,41.88,31.44,88.4,49.77,11.2,Low
70,2025-03-12,BGW-01,2,production,15,0.0,,,,70.16,1688.2,2290.7,148.5,76.7,58.8,0.148,83.9,8.62,42.77,28.58,82.2,50.21,14.4,Low
71,2025-03-13,BGW-01,2,production,16,0.0,,,,68.4,1690.1,2500.0,147.9,79.8,55.8,0.144,84.3,9.1,42.57,32.31,83.4,50.72,14.8,Low
72,2025-03-14,BGW-01,2,production,17,0.0,,,,65.98,1719.9,2819.3,134.4,71.8,51.4,0.141,84.8,8.85,41.06,30.92,78.2,52.29,17.8,Low
73,2025-03-15,BGW-01,2,production,18,0.0,,,,63.3,1695.0,3221.1,119.5,68.6,43.1,0.138,75.4,8.44,42.04,31.77,74.6,55.25,20.6,Low
74,2025-03-16,BGW-01,2,production,19,0.0,,,,61.8,1721.5,3471.1,122.3,62.5,47.4,0.136,87.6,8.73,41.51,34.44,77.0,52.79,20.7,Low
75,2025-03-17,BGW-01,2,production,20,0.0,,,,60.22,1744.6,3754.2,115.1,61.7,46.6,0.133,93.7,9.95,43.28,33.99,68.6,53.95,24.8,Low
76,2025-03-18,BGW-01,2,production,21,0.0,,,,59.32,1747.8,3926.6,101.2,55.3,40.6,0.132,86.8,9.13,39.09,31.63,71.5,51.74,24.4,Low
77,2025-03-19,BGW-01,2,production,22,0.0,,,,58.01,1741.9,4191.2,90.2,51.0,30.7,0.13,84.7,8.82,41.93,34.58,54.6,62.25,38.3,Medium
78,2025-03-20,BGW-01,2,production,23,0.0,,,,55.63,1755.9,4715.9,70.2,37.8,27.2,0.128,84.1,8.99,42.34,35.59,51.9,60.75,42.0,Medium
79,2025-03-21,BGW-01,2,production,24,0.0,,,,54.79,1735.3,4916.6,80.6,42.1,22.2,0.127,86.5,8.75,41.16,37.91,47.9,64.42,44.3,Medium
80,2025-03-22,BGW-01,2,production,25,0.0,,,,53.46,1772.0,5254.6,61.3,34.4,18.4,0.126,86.4,9.03,41.78,37.22,49.8,69.33,45.5,Medium
81,2025-03-23,BGW-01,2,production,26,0.0,,,,51.89,1778.4,5681.3,55.2,26.5,19.1,0.125,89.7,9.17,41.07,40.86,44.2,71.18,50.9,Medium
82,2025-03-24,BGW-01,2,production,27,0.0,,,,52.05,1773.6,5635.6,46.0,23.8,14.9,0.124,84.7,8.83,41.75,38.34,49.2,67.22,47.0,Medium
83,2025-03-25,BGW-01,2,production,28,0.0,,,,51.42,1799.0,5813.5,50.8,28.7,25.0,0.123,89.7,9.09,42.88,40.71,37.3,72.98,53.5,Medium
84,2025-03-26,BGW-01,2,production,29,0.0,,,,50.94,1780.6,5955.1,51.4,29.2,25.4,0.122,82.9,8.89,42.5,42.34,32.2,66.0,55.9,Medium
85,2025-03-27,BGW-01,2,production,30,0.0,,,,50.64,1798.0,6042.8,46.9,21.8,15.9,0.122,86.1,8.85,45.36,41.04,40.6,73.75,52.6,Medium
86,2025-03-28,BGW-01,2,production,31,0.0,,,,49.51,1778.1,6394.6,35.6,19.1,8.8,0.121,85.6,8.78,43.39,40.98,38.7,71.88,54.4,Medium
87,2025-03-29,BGW-01,2,production,32,0.0,,,,49.45,1776.0,6413.3,30.4,13.2,16.6,0.121,84.5,8.57,42.67,39.1,41.1,71.75,52.3,Medium
88,2025-03-30,BGW-01,2,production,33,0.0,,,,49.25,1778.5,6477.0,36.8,15.6,16.0,0.12,85.9,8.86,43.31,43.02,42.0,73.76,54.6,Medium
89,2025-03-31,BGW-01,2,production,34,0.0,,,,49.06,1796.1,6539.3,35.7,19.6,14.8,0.119,88.0,8.98,40.91,42.88,35.1,73.75,57.5,Medium
90,2025-04-01,BGW-01,2,production,35,0.0,,,,49.07,1765.2,6534.1,29.8,18.3,13.4,0.119,91.3,9.43,41.25,41.96,28.7,73.97,60.8,Medium
91,2025-04-02,BGW-01,2,production,36,0.0,,,,48.52,1790.7,6715.8,25.8,15.7,11.7,0.119,88.6,9.12,42.92,43.14,27.9,72.39,61.2,Medium
92,2025-04-03,BGW-01,2,production,37,0.0,,,,48.18,1779.8,6829.5,30.0,19.7,12.8,0.118,90.5,9.15,41.21,43.98,33.3,74.0,60.2,Medium
93,2025-04-04,BGW-01,2,production,38,0.0,,,,48.29,1788.4,6794.4,20.4,13.9,11.0,0.118,86.3,8.77,40.71,43.25,34.2,72.8,58.3,Medium
94,2025-04-05,BGW-01,2,production,39,0.0,,,,47.23,1770.4,7161.2,16.3,9.1,16.3,0.118,91.2,9.44,42.22,43.85,30.5,77.87,63.3,Medium
95,2025-04-06,BGW-01,2,production,40,0.0,,,,47.89,1787.5,6930.0,19.6,14.0,5.3,0.117,82.1,8.68,42.68,41.73,39.8,72.68,56.1,Medium
96,2025-04-07,BGW-01,2,production,41,0.0,,,,47.48,1809.9,7073.5,10.8,3.1,5.2,0.117,96.0,9.84,41.12,43.67,31.7,76.0,63.6,Medium
97,2025-04-08,BGW-01,2,production,42,0.0,,,,47.28,1767.7,7143.6,17.7,8.3,1.5,0.117,89.7,9.2,41.58,43.94,29.0,79.04,63.0,Medium
98,2025-04-09,BGW-01,2,production,43,0.0,,,,46.67,1807.9,7363.7,18.7,14.8,9.5,0.116,88.9,9.37,43.7,44.75,30.1,78.68,64.3,Medium
99,2025-04-10,BGW-01,2,production,44,0.0,,,,46.93,1804.9,7268.5,7.5,1.7,8.2,0.116,91.8,9.45,41.59,44.5,25.0,79.42,65.9,High
100,2025-04-11,BGW-01,2,production,45,0.0,,,,47.43,1797.1,7091.3,15.7,9.5,2.3,0.116,91.0,9.0,40.88,43.2,31.7,75.84,61.0,Medium
101,2025-04-12,BGW-01,2,production,46,0.0,,,,47.14,1787.5,7194.2,14.2,1.3,2.1,0.116,86.0,8.79,44.07,44.97,32.4,76.5,61.2,Medium
102,2025-04-13,BGW-01,2,production,47,0.0,,,,46.88,1762.5,7286.5,13.5,12.4,0.0,0.116,88.1,8.84,42.02,43.82,34.0,75.25,60.7,Medium
103,2025-04-14,BGW-01,2,production,48,0.0,,,,47.32,1782.3,7129.1,17.1,12.1,7.9,0.115,86.9,9.21,42.17,45.37,30.8,71.86,62.9,Medium
104,2025-04-15,BGW-01,2,production,49,0.0,,,,46.39,1779.7,7467.5,8.0,3.5,0.0,0.115,82.8,8.74,45.69,42.54,36.7,74.81,59.7,Medium
105,2025-04-16,BGW-01,2,production,50,0.0,,,,45.11,1775.6,7956.8,5.0,0.0,1.7,0.115,87.5,8.77,42.22,45.51,28.8,76.97,65.5,High
106,2025-04-17,BGW-01,2,production,51,0.0,,,,44.62,1796.8,8153.2,5.0,2.7,0.0,0.115,88.6,9.11,42.92,47.57,24.9,83.12,68.8,High
107,2025-04-18,BGW-01,2,production,52,0.0,,,,45.1,1785.7,7958.4,10.4,11.5,0.0,0.115,91.7,9.45,40.41,45.99,19.7,83.72,70.9,High
108,2025-04-19,BGW-01,2,production,53,0.0,,,,44.7,1835.4,8118.4,5.0,0.6,0.0,0.115,83.3,9.09,43.33,45.66,24.0,80.0,68.4,High
109,2025-04-20,BGW-01,2,production,54,0.0,,,,43.91,1824.3,8400.0,5.0,0.0,0.0,0.115,88.9,8.99,43.94,46.26,27.3,78.44,67.1,High
110,2025-04-21,BGW-01,2,production,55,0.0,,,,44.45,1794.0,8222.9,5.0,4.4,4.3,0.115,84.9,8.66,40.22,45.54,28.3,78.31,65.5,High
111,2025-04-22,BGW-01,2,production,56,0.0,,,,44.84,1785.6,8063.0,5.0,7.3,7.1,0.115,88.8,9.51,41.2,45.61,26.1,79.85,68.9,High
112,2025-04-23,BGW-01,2,production,57,0.0,,,,44.75,1789.0,8098.3,5.0,5.6,8.1,0.115,92.3,9.09,40.91,46.89,23.6,81.5,69.0,High
113,2025-04-24,BGW-01,2,production,58,0.0,,,,44.49,1795.3,8206.1,5.0,3.0,5.2,0.115,89.1,8.99,41.83,46.75,23.6,82.88,68.6,High
114,2025-04-25,BGW-01,3,injection,0,209.0,1370.0,0.769,,66.03,1706.9,2813.3,0.0,0.0,0.1,0.141,86.3,9.49,42.55,32.83,76.7,47.44,18.3,Low
115,2025-04-26,BGW-01,3,injection,1,181.2,1420.0,0.684,,86.82,1645.1,1000.6,0.0,0.0,8.0,0.164,87.1,9.05,41.34,26.53,88.9,47.68,7.2,Low
116,2025-04-27,BGW-01,3,soak,2,0.0,,,6.0,85.86,1637.4,1049.6,191.5,99.6,72.7,0.161,77.7,8.37,42.92,28.84,92.0,42.33,6.3,Low
117,2025-04-28,BGW-01,3,soak,3,0.0,,,6.0,87.15,1643.5,984.6,182.7,97.3,68.4,0.157,84.6,8.8,42.61,31.27,91.8,46.72,6.0,Low
118,2025-04-29,BGW-01,3,soak,4,0.0,,,6.0,86.26,1634.6,1029.0,201.3,106.1,78.3,0.153,81.0,8.53,42.34,29.47,92.7,44.06,5.9,Low
119,2025-04-30,BGW-01,3,soak,5,0.0,,,6.0,87.15,1635.4,984.3,187.2,97.6,78.4,0.15,86.2,9.12,44.79,29.85,91.6,52.55,6.1,Low
120,2025-05-01,BGW-01,3,soak,6,0.0,,,6.0,86.81,1617.3,1001.0,198.3,108.1,77.2,0.146,91.3,9.69,42.49,30.18,87.8,46.95,7.5,Low
121,2025-05-02,BGW-01,3,production,7,0.0,,,,83.17,1654.3,1199.6,184.1,100.2,81.3,0.143,86.2,8.89,41.24,29.03,87.4,46.92,8.4,Low
122,2025-05-03,BGW-01,3,production,8,0.0,,,,78.5,1649.1,1513.3,184.6,98.3,75.4,0.141,89.6,9.4,43.87,27.92,89.3,50.13,8.9,Low
123,2025-05-04,BGW-01,3,production,9,0.0,,,,74.35,1685.3,1860.0,169.1,92.2,69.9,0.138,85.5,9.09,44.21,26.74,87.7,48.72,10.8,Low
124,2025-05-05,BGW-01,3,production,10,0.0,,,,70.5,1703.0,2251.7,157.6,88.6,58.7,0.136,79.3,8.73,40.99,30.03,85.7,51.28,13.0,Low
125,2025-05-06,BGW-01,3,production,11,0.0,,,,69.19,1682.1,2403.2,154.7,82.8,64.2,0.134,90.1,9.35,41.51,30.28,79.6,49.58,15.8,Low
126,2025-05-07,BGW-01,3,production,12,0.0,,,,67.05,1705.5,2674.1,146.4,78.8,60.6,0.132,96.4,9.67,39.65,32.86,82.1,49.73,15.9,Low
127,2025-05-08,BGW-01,3,production,13,0.0,,,,65.55,1714.7,2881.2,141.3,76.2,55.6,0.13,88.5,9.12,44.1,30.39,77.4,53.61,18.3,Low
128,2025-05-09,BGW-01,3,production,14,0.0,,,,63.98,1711.0,3113.8,132.8,70.7,49.4,0.128,78.8,8.51,42.36,31.25,75.0,46.64,20.1,Low
129,2025-05-10,BGW-01,3,production,15,0.0,,,,62.85,1750.2,3294.4,119.9,65.7,42.4,0.126,84.5,8.96,42.44,33.83,80.9,52.4,18.7,Low
130,2025-05-11,BGW-01,3,production,16,0.0,,,,60.96,1758.2,3619.6,116.3,62.3,44.9,0.125,87.8,8.97,45.45,34.56,72.0,54.55,23.1,Low
131,2025-05-12,BGW-01,3,production,17,0.0,,,,59.0,1744.6,3988.6,99.0,54.7,43.5,0.124,84.5,8.61,39.96,31.66,64.8,56.85,27.0,Low
132,2025-05-13,BGW-01,3,production,18,0.0,,,,57.66,1780.8,4263.4,84.0,44.7,32.9,0.123,82.6,8.56,41.41,35.51,59.9,60.21,36.1,Medium
133,2025-05-14,BGW-01,3,production,19,0.0,,,,56.65,1732.8,4482.3,92.8,47.5,40.6,0.122,85.3,9.1,42.27,37.23,48.2,62.58,43.3,Medium
134,2025-05-15,BGW-01,3,production,20,0.0,,,,55.33,1769.3,4786.5,75.0,41.3,25.4,0.121,83.3,8.65,41.15,39.14,48.8,65.06,43.6,Medium
135,2025-05-16,BGW-01,3,production,21,0.0,,,,54.65,1763.4,4952.1,65.1,34.9,34.0,0.12,86.9,9.02,42.82,35.16,49.9,61.04,43.5,Medium
136,2025-05-17,BGW-01,3,production,22,0.0,,,,53.3,1747.8,5295.0,73.1,38.4,21.5,0.119,81.6,8.18,41.65,37.59,49.3,67.65,43.4,Medium
137,2025-05-18,BGW-01,3,production,23,0.0,,,,52.41,1775.0,5535.2,49.4,28.4,22.0,0.119,85.9,9.29,40.25,37.56,47.5,68.24,48.3,Medium
138,2025-05-19,BGW-01,3,production,24,0.0,,,,51.15,1779.0,5893.9,58.4,30.7,26.7,0.118,87.6,8.97,44.05,38.28,40.2,68.66,51.5,Medium
139,2025-05-20,BGW-01,3,production,25,0.0,,,,50.8,1771.3,5996.6,40.0,19.4,13.7,0.118,83.2,8.59,41.06,41.46,40.3,72.11,51.9,Medium
140,2025-05-21,BGW-01,3,production,26,0.0,,,,50.01,1765.8,6235.9,42.5,20.4,12.4,0.117,85.6,8.81,40.25,41.77,40.0,68.05,53.7,Medium
141,2025-05-22,BGW-01,3,production,27,0.0,,,,49.4,1763.5,6427.5,38.6,20.7,9.6,0.117,87.3,9.01,43.54,43.21,30.3,77.54,59.0,Medium
142,2025-05-23,BGW-01,3,production,28,0.0,,,,49.31,1747.6,6456.0,32.3,17.0,6.4,0.117,89.3,9.28,40.52,40.58,33.8,71.19,57.7,Medium
143,2025-05-24,BGW-01,3,production,29,0.0,,,,48.47,1789.7,6734.0,31.0,18.0,13.7,0.116,89.1,9.47,40.4,44.28,31.9,77.92,61.4,Medium
144,2025-05-25,BGW-01,3,production,30,0.0,,,,47.95,1784.9,6909.4,31.6,18.5,13.4,0.116,85.0,8.88,42.43,42.8,33.6,75.39,59.2,Medium
145,2025-05-26,BGW-01,3,production,31,0.0,,,,47.99,1776.6,6896.1,39.4,15.9,17.1,0.115,91.4,9.17,42.07,44.01,35.0,75.08,59.9,Medium
146,2025-05-27,BGW-01,3,production,32,0.0,,,,46.3,1776.5,7500.7,19.1,11.4,11.9,0.115,81.9,8.75,42.22,44.4,30.9,79.85,62.5,Medium
147,2025-05-28,BGW-01,3,production,33,0.0,,,,46.76,1800.5,7330.9,14.8,7.4,0.0,0.115,83.4,8.28,42.97,43.97,30.6,77.14,60.4,Medium
148,2025-05-29,BGW-01,3,production,34,0.0,,,,46.48,1802.1,7431.5,8.9,3.3,8.7,0.115,88.3,8.88,41.65,45.29,26.0,75.76,64.7,Medium
149,2025-05-30,BGW-01,3,production,35,0.0,,,,46.42,1821.3,7455.2,23.7,9.5,9.1,0.115,89.5,9.36,40.96,44.45,28.3,79.05,65.1,High
150,2025-05-31,BGW-01,3,production,36,0.0,,,,46.23,1791.7,7525.4,5.0,3.1,3.8,0.115,80.1,8.52,43.48,42.81,33.3,76.33,60.5,Medium
